,Alay,KBBI
0,ajh,saja
1,ajj,saja
2,akoh,aku
3,amaca,ah masa
4,amuh,kamu
5,aph,apa
6,apose,apa
7,apz,apa
8,aq,saya
9,baryaw,sabar ya
10,baryw,sabar ya
11,bryaw,sabar ya
12,bryw,sabar ya
13,bay,selamat tinggal
14,besoq,besok
15,beud,banget
16,bhay,selamat tinggal
17,bisya,bisa
18,biza,bisa
19,bntr,sebentar
20,bokap,ayah
21,bkap,ayah
22,bkp,ayah
23,bokaps,ayah
24,bokapz,ayah
25,bs,bisa
26,bsa,bisa
27,bsk,besok
28,bsoq,besok
29,bte,bosan
30,bozen,bosan
31,bozn,bosan
32,bzn,bosan
33,bzen,bosan
34,cabut,pergi
35,caiank,sayang
36,cekola,sekolah
37,cekolah,sekolah
38,celalaw,selalu
39,celalu,selalu
40,cemungudh,semangat
41,cemungut,semangat
42,cemunguth,semangat
43,cibuq,sibuk
44,cini,sini
45,ciyus,serius
46,cll,selalu
47,cllu,selalu
48,cllw,selalu
49,cpe,capek
50,cpee,capek
51,cewe,cewek
52,cwe,cewek
53,cowo,cowok
54,cwo,cowok
55,dah,sudah
56,dapa,ada apa
57,dapah,ada apa
58,dftr,daftar
59,dh,sudah
60,dimance,dimana
61,dimandose,dimana
62,dimans,dimana
63,duluw,dulu
64,ea,ya
65,emg,memang
66,eteb,bosan
67,g,tidak
68,ga,tidak
69,gabut,menganggur
70,gak,tidak
71,gakz,tidak
72,gatau,tidak tahu
73,gataw,tidak tahu
74,gengges,ganggu
75,ghiy,lagi
76,gi,lagi
77,gk,tidak
78,gpp,tidak apa apa
79,gtw,tidak tahu
80,gue,saya
81,gw,saya
82,gx,tidak
83,hums,rumah
84,humz,rumah
85,huum,iya
86,iy,iya
87,iyach,iya
88,iyap,iya
89,iyapz,iya
90,iyup,iya
91,iyupz,iya
92,iz,iya
93,iza,iya
94,izza,iya
95,jamber,jam berapa
96,jd,jadi
97,jdi,jadi
98,jg,juga
99,jga,juga
100,jgn,jangan
101,jngan,jangan
102,jngn,jangan
103,kacian,kasihan
104,kaka,kakak
105,kau,kamu
106,keles,kali
107,kenapah,kenapa
108,kenaps,kenapa
109,kenapz,kenapa
110,kepo,ingin tahu
111,keyen,keren
112,khan,kan
113,khanz,kan
114,kk,kakak
115,klo,kalau
116,klw,kalau
117,km,kamu
118,kmrn,kemarin
119,kmu,kamu
120,knp,kenapa
121,koq,kok
122,kpan,kapan
123,kpn,kapan
124,kuq,kok
125,kuy,ayo
126,kw,kamu
127,kzl,kesal
128,lam,salam
129,leh,boleh
130,lo,kamu
