,Tweet,sentimen,clean_link,hapus_punc,substitute_slang,stemming,eliminate_stop_with_stemming,eliminate_stop_without_stemming
0,"rt @napqilla: no 1, 3 ambisinya menguasai rakyat, no.2 ambisinya melayani rakyat, itu terlihat #debat2pilkadadki, mknya #loguepilihbadja aja",1," no 1, 3 ambisinya menguasai rakyat, no.2 ambisinya melayani rakyat, itu terlihat #debat2pilkadadki, mknya #loguepilihbadja aja", no   ambisinya menguasai rakyat no ambisinya melayani rakyat itu terlihat debatpilkadadki mknya loguepilihbadja aja,no ambisinya menguasai rakyat no ambisinya melayani rakyat itu terlihat debatpilkadadki makanya loguepilihbadja saja,no ambisi kuasa rakyat no ambisi layan rakyat itu lihat debatpilkadadki makanya loguepilihbadja saja,no ambisi kuasa rakyat no ambisi layan rakyat lihat debatpilkadadki loguepilihbadja,no ambisinya menguasai rakyat no ambisinya melayani rakyat debatpilkadadki loguepilihbadja
1,rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 ,1, nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 , nah gue pikir sentimen petahana oke di debatpilkadadki semalam tapi mnrt politicawave malah sebaliknya gengu ,nah saya pikir sentimen petahana oke di debatpilkadadki semalam tapi mnrt politicawave malah sebaliknya gengu,nah saya pikir sentimen tahana oke di debatpilkadadki malam tapi mnrt politicawave malah balik gengu,pikir sentimen tahana oke debatpilkadadki malam mnrt politicawave gengu,pikir sentimen petahana oke debatpilkadadki semalam mnrt politicawave gengu
2,rt @pandji: urutan pertama best moment #debat2pilkadadki : pak basuki misahin bu sylvie &amp,1, urutan pertama best moment #debat2pilkadadki : pak basuki misahin bu sylvie &amp, urutan pertama best moment debatpilkadadki  pak basuki misahin bu sylvie amp,urutan pertama best moment debatpilkadadki pak basuki misahin bu sylvie amp,urut pertama best moment debatpilkadadki pak basuki misahin bu sylvie amp,urut best moment debatpilkadadki basuki misahin bu sylvie amp,urutan best moment debatpilkadadki basuki misahin bu sylvie amp
3,rt @pandji: ini artikel yg menjelaskan ternyata di #debat2pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce https:\/\/t.co\u2026,1, ini artikel yg menjelaskan ternyata di #debat2pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce , ini artikel yg menjelaskan ternyata di debatpilkadadki yg dapet respon positif di socmed adalah aniessandiokoce ,ini artikel yang menjelaskan ternyata di debatpilkadadki yang dapat respon positif di socmed adalah aniessandiokoce,ini artikel yang jelas nyata di debatpilkadadki yang dapat respon positif di socmed adalah aniessandiokoce,artikel nyata debatpilkadadki respon positif socmed aniessandiokoce,artikel debatpilkadadki respon positif socmed aniessandiokoce
4,rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki,0, agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki, agus makin santainahok makin santunnanies makin esmosinnimhondebatpilkadadki,agus makin santainahok makin santunnanies makin esmosinnimhondebatpilkadadki,agus makin santainahok makin santunnanies makin esmosinnimhondebatpilkadadki,agus santainahok santunnanies esmosinnimhondebatpilkadadki,agus santainahok santunnanies esmosinnimhondebatpilkadadki
5,"pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj... https:\/\/t.co\/ggych4sgct #debat2pilkadadki #imlek",0,"pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj...  #debat2pilkadadki #imlek",pilkada dki jangan pilih pki berbahaya pilih  atau  saja tahun baru imlek pkb aj  debatpilkadadki imlek,pilkada dki jangan pilih pki berbahaya pilih atau saja tahun baru imlek pkb saja debatpilkadadki imlek,pilkada dki jangan pilih pki bahaya pilih atau saja tahun baru imlek pkb saja debatpilkadadki imlek,pilkada dki pilih pki bahaya pilih imlek pkb debatpilkadadki imlek,pilkada dki pilih pki berbahaya pilih imlek pkb debatpilkadadki imlek
6,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! wni ang... ,0,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! wni ang... ,pdip sengaja becah belah rakyat warga dki tidak pilih ahok wni ang ,pdip sengaja becah belah rakyat warga dki tidak pilih ahok wni ang,pdip sengaja becah belah rakyat warga dki tidak pilih ahok wni ang,pdip sengaja becah belah rakyat warga dki pilih ahok wni ang,pdip sengaja becah belah rakyat warga dki pilih ahok wni ang
7,nama nya juga debat\nbiasa nya itu https:\/\/t.co\/cjertypdxp,1,nama nya juga debat\nbiasa nya itu ,nama nya juga debatnbiasa nya itu ,nama nya juga debatnbiasa nya itu,nama nya juga debatnbiasa nya itu,nama nya debatnbiasa nya,nama nya debatnbiasa nya
8,"rt @dadansuwarna: kita ttp bisa bijak memilih, tanpa harus berteriak, tanpa harus mengumpat. #debat2pilkadadki #debatcagubdki",1," kita ttp bisa bijak memilih, tanpa harus berteriak, tanpa harus mengumpat. #debat2pilkadadki #debatcagubdki", kita ttp bisa bijak memilih tanpa harus berteriak tanpa harus mengumpat debatpilkadadki debatcagubdki,kita tetap bisa bijak memilih tanpa harus berteriak tanpa harus mengumpat debatpilkadadki debatcagubdki,kita tetap bisa bijak pilih tanpa harus teriak tanpa harus umpat debatpilkadadki debatcagubdki,bijak pilih teriak umpat debatpilkadadki debatcagubdki,bijak memilih berteriak mengumpat debatpilkadadki debatcagubdki
9,"rt @aniesbaswedan: ibu, terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran, karakter dan semangat untuk berju\u2026 ",1," ibu, terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran, karakter dan semangat untuk berju\u2026 ", ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk berjuu ,ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk berjuu,ibu terima kasih atas doa dan kumpul ajar yang telah bangun pikir karakter dan semangat untuk berjuu,terima kasih doa kumpul ajar bangun pikir karakter semangat berjuu,terima kasih doa kumpulan pelajaran membangun pemikiran karakter semangat berjuu
